City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
563,Palmerston,AU,88.93,clear sky,-12.49,130.98,Quest Palmerston - Serviced Apartments and Accommodation
567,Dunmore Town,BS,77.86,clear sky,25.5,-76.65,Coral Sands Hotel
568,Kasangulu,CD,76.14,light rain,-4.59,15.17,Hôtel le Relais
573,Kroya,ID,78.78,overcast clouds,-7.63,109.25,RUSTANTO Fam
577,Sinnamary,GF,76.84,overcast clouds,5.38,-52.95,ALETHEIA Appartement Sinnamary
578,Coahuayana,MX,75.7,overcast clouds,18.73,-103.68,El rranchito michuacan de ocampos
579,Wajir,KE,76.64,few clouds,1.75,40.06,Al- Amin lodge
593,Vieux Fort,LC,81.72,scattered clouds,13.72,-60.95,Cedar Palm Villa
594,Morondava,MG,78.3,few clouds,-20.28,44.28,La Case Bambou
596,Parana,AR,78.51,clear sky,-31.73,-60.52,Howard Johnson by Wyndham Plaza Hotel Mayorazgo
597,Kisaran,ID,76.89,overcast clouds,2.98,99.62,Kost Orange Pak Zul
611,The Valley,AI,81.1,overcast clouds,18.22,-63.06,CeBlue Villas & Beach Resort
614,Balikpapan,ID,79.79,few clouds,-1.27,116.83,Swiss-Belhotel Balikpapan
616,Kathu,TH,75.02,scattered clouds,7.92,98.33,Novotel Phuket Resort
626,Vangaindrano,MG,75.02,light rain,-23.35,47.6,Hotel Fanilo
635,Hobyo,SO,78.49,scattered clouds,5.35,48.53,Halane Hotel and Restaurent
637,Micheweni,TZ,78.78,light rain,-4.97,39.83,
647,Bull Savanna,JM,75.4,clear sky,17.89,-77.59,Big Red's
650,Cabangahan,PH,80.6,overcast clouds,9.08,122.95,Centralle District Beach Resort
651,Anloga,GH,82.62,broken clouds,5.79,0.9,Pin Drop Hotel
652,Los Andes,CL,77.72,scattered clouds,-32.83,-70.6,Hotel Los Andes
654,Lazaro Cardenas,MX,77.97,overcast clouds,17.96,-102.2,quinta antigua
665,Oranjestad,AW,80.55,few clouds,12.52,-70.03,Divi Village Golf & Beach Resort
