City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
71,Juneau,US,58.30,-134.42,28.45,93,90,5.75,light snow
72,Mataura,NZ,-46.19,168.86,55.47,44,87,7.25,overcast clouds
73,Lakes Entrance,AU,-37.88,147.98,78.17,51,100,9.28,overcast clouds
74,Pangai,TO,-19.80,-174.35,82.51,65,40,18.41,scattered clouds
75,Labuhan,ID,-6.88,112.21,80.04,77,100,6.98,moderate rain
76,New Norfolk,AU,-42.78,147.06,67.91,51,89,8.34,overcast clouds
77,Husavik,IS,66.04,-17.34,42.71,80,100,25.81,moderate rain
78,Severo-Kurilsk,RU,50.68,156.12,32.56,81,98,16.51,light snow
79,Nushki,PK,29.55,66.02,44.96,42,0,2.33,clear sky
80,Whyalla,AU,-33.03,137.58,69.69,64,90,8.05,overcast clouds
81,Dikson,RU,73.51,80.55,-6.56,96,100,9.71,overcast clouds
82,Salalah,OM,17.02,54.09,75.29,33,0,11.5,clear sky
83,Sola,VU,-13.88,167.55,84.87,79,75,3.44,broken clouds
84,Lavrentiya,RU,65.58,-171.00,29.23,97,100,18.39,snow
85,Georgetown,MY,5.41,100.34,78.89,81,20,1.99,few clouds
86,Mahebourg,MU,-20.41,57.70,77.29,78,40,6.91,light rain
87,Trebnje,SI,45.90,15.02,36.88,99,100,2.04,overcast clouds
88,Arraial Do Cabo,BR,-22.97,-42.03,74.37,87,81,20.67,broken clouds
89,Talara,PE,-4.58,-81.27,66.43,88,100,16.02,overcast clouds
90,Norman Wells,CA,65.28,-126.83,-27.36,62,75,0.0,broken clouds
91,Kaya,BF,13.09,-1.08,74.73,13,2,7.87,clear sky
92,Butaritari,KI,3.07,172.79,80.98,81,94,12.75,moderate rain
93,Rocha,UY,-34.48,-54.33,59.77,97,29,3.27,scattered clouds
94,Enterprise,US,36.03,-115.24,73.94,15,20,5.99,few clouds
95,Kalemie,CD,-5.95,29.19,72.1,82,100,3.2,overcast clouds
96,Chaiyaphum,TH,15.75,102.00,68.81,63,42,9.42,scattered clouds
97,Tiksi,RU,71.69,128.87,-15.97,94,100,6.71,overcast clouds
98,Chuka,KE,-0.33,37.65,59.27,92,74,2.55,broken clouds
99,Auki,SB,-8.77,160.70,79.11,89,100,12.64,overcast clouds
100,Rabo De Peixe,PT,37.80,-25.58,62.28,96,75,4.61,broken clouds
101,Vesyegonsk,RU,58.66,37.26,0.34,93,89,5.53,overcast clouds
102,Octeville,FR,49.63,-1.64,46.92,76,90,10.36,overcast clouds
103,Hodal,IN,27.90,77.37,70.68,56,84,3.6,broken clouds
104,Tazmalt,DZ,36.39,4.40,44.83,76,38,15.52,scattered clouds
105,Anshun,CN,26.25,105.93,48.9,79,100,1.23,overcast clouds
106,Upernavik,GL,72.79,-56.15,25.9,75,100,5.88,overcast clouds
107,Rio Gallegos,AR,-51.62,-69.22,57.25,33,0,12.66,clear sky
108,Giddalur,IN,15.35,78.92,70.36,78,5,2.35,clear sky
109,Vila,PT,42.03,-8.16,42.33,84,81,2.28,broken clouds
110,Remiremont,FR,48.02,6.59,33.08,99,91,1.39,overcast clouds
111,Yarada,IN,17.65,83.27,77.32,78,75,2.3,mist
112,Viedma,AR,-40.81,-63.00,67.39,34,0,14.54,clear sky
113,Berlevag,NO,70.86,29.09,22.48,92,88,27.72,light snow
114,Pundaguitan,PH,6.37,126.17,80.96,78,90,11.48,overcast clouds
115,Chuy,UY,-33.70,-53.46,63.88,88,100,6.31,overcast clouds
116,Araouane,ML,18.90,-3.53,61.23,15,91,9.98,overcast clouds
117,Hervey Bay,AU,-25.30,152.85,85.03,85,24,3.0,light rain
118,Airai,TL,-8.93,125.41,68.88,77,97,1.01,overcast clouds
119,Victoria,HK,22.29,114.16,64.33,55,89,1.01,overcast clouds
120,Bredasdorp,ZA,-34.53,20.04,59.29,94,100,10.0,moderate rain
121,Bengkulu,ID,-3.80,102.27,78.15,84,100,7.16,overcast clouds
122,Amalner,IN,21.05,75.07,68.77,58,4,3.69,clear sky
123,Ostrovnoy,RU,68.05,39.51,10.45,74,88,23.42,overcast clouds
124,Katsuura,JP,35.13,140.30,51.19,73,100,9.73,overcast clouds
125,Pingliang,CN,35.54,106.69,34.9,34,3,2.39,clear sky
126,Beringovskiy,RU,63.05,179.32,7.23,81,100,34.34,overcast clouds
127,Yar-Sale,RU,66.83,70.83,-14.26,91,51,14.81,broken clouds
128,Grindavik,IS,63.84,-22.43,37.87,93,90,13.8,overcast clouds
129,Malvern,US,34.36,-92.81,70.95,83,89,11.21,overcast clouds
130,Merritt,CA,50.11,-120.79,23.83,77,100,1.52,overcast clouds
131,Belmonte,BR,-15.86,-38.88,75.7,84,0,4.54,clear sky
132,Sri Aman,MY,1.24,111.46,75.25,94,40,0.0,scattered clouds
133,Provideniya,RU,64.38,-173.30,28.51,86,90,8.95,snow
134,Bay Saint Louis,US,30.31,-89.33,69.89,91,1,8.05,clear sky
135,Chicla,PE,-11.71,-76.27,42.98,96,100,1.79,overcast clouds
136,Samarai,PG,-10.62,150.67,84.07,72,100,9.98,overcast clouds
137,Bar Harbor,US,44.39,-68.20,31.91,64,1,3.44,clear sky
